MMSI,DATA ESTRAZIONE,ORA ESTRAZIONE,PORTO
538003696,2025-09-09,12:11:14,El Iskandariya (Alexandria)
563157600,2025-09-09,12:11:14,El Iskandariya (Alexandria)
622122279,2025-09-09,12:11:14,El Iskandariya (Alexandria)
247056200,2025-09-09,12:11:14,El Iskandariya (Alexandria)
255976000,2025-09-09,12:11:14,El Iskandariya (Alexandria)
271044659,2025-09-09,12:11:14,El Iskandariya (Alexandria)
341414000,2025-09-09,12:11:14,El Iskandariya (Alexandria)
677085700,2025-09-09,12:11:14,El Iskandariya (Alexandria)
259153000,2025-09-09,12:11:14,El Iskandariya (Alexandria)
373526000,2025-09-09,12:11:14,El Iskandariya (Alexandria)
622122280,2025-09-09,12:11:14,El Iskandariya (Alexandria)
352001957,2025-09-09,12:11:14,El Iskandariya (Alexandria)
538004748,2025-09-09,12:11:14,El Iskandariya (Alexandria)
246360000,2025-09-09,12:11:14,El Iskandariya (Alexandria)
671073100,2025-09-09,12:11:14,El Iskandariya (Alexandria)
372375000,2025-09-09,12:11:14,El Iskandariya (Alexandria)
630001073,2025-09-09,12:11:14,El Iskandariya (Alexandria)
671012100,2025-09-09,12:11:14,El Iskandariya (Alexandria)
538004714,2025-09-09,12:11:14,El Iskandariya (Alexandria)
477147800,2025-09-09,12:11:14,El Iskandariya (Alexandria)
538008454,2025-09-09,12:11:14,El Iskandariya (Alexandria)
207138000,2025-09-09,12:11:14,El Iskandariya (Alexandria)
373923000,2025-09-09,12:11:14,El Iskandariya (Alexandria)
622112839,2025-09-09,12:11:14,El Iskandariya (Alexandria)
622112860,2025-09-09,12:11:14,El Iskandariya (Alexandria)
622121071,2025-09-09,12:11:14,El Iskandariya (Alexandria)
622112886,2025-09-09,12:11:14,El Iskandariya (Alexandria)
622112879,2025-09-09,12:11:14,El Iskandariya (Alexandria)
235090537,2025-09-09,12:11:14,El Iskandariya (Alexandria)
622112880,2025-09-09,12:11:14,El Iskandariya (Alexandria)
341824001,2025-09-09,12:11:14,El Iskandariya (Alexandria)
622121525,2025-09-09,12:11:14,El Iskandariya (Alexandria)
622112887,2025-09-09,12:11:14,El Iskandariya (Alexandria)
622139002,2025-09-09,12:11:14,El Iskandariya (Alexandria)
622121215,2025-09-09,12:11:14,El Iskandariya (Alexandria)
372296000,2025-09-09,12:11:14,El Iskandariya (Alexandria)
352001636,2025-09-09,12:11:14,El Iskandariya (Alexandria)
667001599,2025-09-09,12:11:14,El Iskandariya (Alexandria)
677028000,2025-09-09,12:11:14,El Iskandariya (Alexandria)
636020467,2025-09-09,12:11:14,El Iskandariya (Alexandria)
341266002,2025-09-09,12:11:14,El Iskandariya (Alexandria)
314725000,2025-09-09,12:11:14,El Iskandariya (Alexandria)
622000000,2025-09-09,12:11:14,El Iskandariya (Alexandria)
312631000,2025-09-09,12:11:14,El Iskandariya (Alexandria)
374959000,2025-09-09,12:11:14,El Iskandariya (Alexandria)
622112832,2025-09-09,12:11:14,El Iskandariya (Alexandria)
622112864,2025-09-09,12:11:14,El Iskandariya (Alexandria)
620999532,2025-09-09,12:11:14,El Iskandariya (Alexandria)
622112858,2025-09-09,12:11:14,El Iskandariya (Alexandria)
636013153,2025-09-09,12:11:14,El Iskandariya (Alexandria)
412017370,2025-09-09,12:11:14,Tema
538005930,2025-09-09,12:11:14,Tema
304693000,2025-09-09,12:11:14,Tema
538011406,2025-09-09,12:11:14,Tema
