MMSI,DATA ESTRAZIONE,ORA ESTRAZIONE,PORTO
605056210,2025-09-08,11:11:22,Alger (Algiers)
605086016,2025-09-08,11:11:22,Alger (Algiers)
341878001,2025-09-08,11:11:22,Alger (Algiers)
256589000,2025-09-08,11:11:22,Alger (Algiers)
215910000,2025-09-08,11:11:22,Alger (Algiers)
577138000,2025-09-08,11:11:22,Alger (Algiers)
268240002,2025-09-08,11:11:22,Alger (Algiers)
605136720,2025-09-08,11:11:22,Alger (Algiers)
605116750,2025-09-08,11:11:22,Alger (Algiers)
636092914,2025-09-08,11:11:22,Alger (Algiers)
412043240,2025-09-08,11:11:22,Arzew
538004901,2025-09-08,11:11:22,Arzew
605266428,2025-09-08,11:11:22,Arzew
605106423,2025-09-08,11:11:22,Arzew
375778000,2025-09-08,11:11:22,Arzew
255806435,2025-09-08,11:11:22,Arzew
352001835,2025-09-08,11:11:22,Arzew
636013848,2025-09-08,11:11:22,Arzew
311001043,2025-09-08,11:11:22,Arzew
563043900,2025-09-08,11:11:22,Arzew
352001774,2025-09-08,11:11:22,Ghazaouet
255805939,2025-09-08,11:11:22,Mostaganem
405000420,2025-09-08,11:11:22,Mostaganem
605076261,2025-09-08,11:11:22,Oran
605086011,2025-09-08,11:11:22,Oran
538011126,2025-09-08,11:11:22,Oran
605000000,2025-09-08,11:11:22,Oran
605126910,2025-09-08,11:11:22,Oran
667002297,2025-09-08,11:11:22,Oran
564881000,2025-09-08,11:11:22,Oran
605106432,2025-09-08,11:11:22,Oran
314647000,2025-09-08,11:11:22,Oran
538010518,2025-09-08,11:11:22,Oran
622177207,2025-09-08,11:11:22,Dumyat (Damietta)
622177202,2025-09-08,11:11:22,Dumyat (Damietta)
341940001,2025-09-08,11:11:22,Dumyat (Damietta)
622177208,2025-09-08,11:11:22,Dumyat (Damietta)
671043100,2025-09-08,11:11:22,Dumyat (Damietta)
622177219,2025-09-08,11:11:22,Dumyat (Damietta)
622177206,2025-09-08,11:11:22,Dumyat (Damietta)
511100209,2025-09-08,11:11:22,Dumyat (Damietta)
677074300,2025-09-08,11:11:22,Dumyat (Damietta)
622110051,2025-09-08,11:11:22,Dumyat (Damietta)
622112844,2025-09-08,11:11:22,El Iskandariya (Alexandria)
636020467,2025-09-08,11:11:22,El Iskandariya (Alexandria)
370998000,2025-09-08,11:11:22,El Iskandariya (Alexandria)
622112887,2025-09-08,11:11:22,El Iskandariya (Alexandria)
677064000,2025-09-08,11:11:22,El Iskandariya (Alexandria)
