MMSI,DATA ESTRAZIONE,ORA ESTRAZIONE,PORTO,RETRY_COUNT
271044633,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
636020959,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
636019532,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
538008485,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
677010600,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
477642700,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
232041694,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
257127140,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
357048000,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
354588000,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
352001874,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
341887001,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
271049621,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
352001678,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
636091202,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
511101371,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
319076100,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
271050524,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
630001067,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
255976000,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
341414000,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
373526000,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
372375000,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
622112839,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
622112860,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
622112886,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
622112879,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
622112880,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
341824001,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
622121525,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
622112887,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
622121215,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
372296000,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
352001636,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
667001599,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
677028000,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
636020467,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
341266002,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
314725000,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
622000000,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
312631000,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
374959000,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
622112832,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
622112864,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
620999532,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
622112858,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
636013153,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
314001024,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
341135002,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
6221128,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
622112841,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
312089000,2025-09-14,05:10:57,El Iskandariya (Alexandria),0
