MMSI,DATA ESTRAZIONE,ORA ESTRAZIONE,PORTO
605046440,2025-09-02,22:11:50,Alger (Algiers)
605076000,2025-09-02,22:11:50,Alger (Algiers)
605056210,2025-09-02,22:11:50,Alger (Algiers)
642112004,2025-09-02,22:11:50,Alger (Algiers)
605086010,2025-09-02,22:11:50,Alger (Algiers)
605086016,2025-09-02,22:11:50,Alger (Algiers)
605086015,2025-09-02,22:11:50,Alger (Algiers)
605176080,2025-09-02,22:11:50,Alger (Algiers)
605176081,2025-09-02,22:11:50,Alger (Algiers)
255806363,2025-09-02,22:11:50,Alger (Algiers)
563263700,2025-09-02,22:11:50,Arzew
412043240,2025-09-02,22:11:50,Arzew
677019800,2025-09-02,22:11:50,Arzew
538004901,2025-09-02,22:11:50,Arzew
636023235,2025-09-02,22:11:50,Arzew
375778000,2025-09-02,22:11:50,Arzew
605106423,2025-09-02,22:11:50,Arzew
311001336,2025-09-02,22:11:50,Arzew
605116740,2025-09-02,22:11:50,Arzew
235061987,2025-09-02,22:11:50,Arzew
352001774,2025-09-02,22:11:50,Ghazaouet
352978144,2025-09-02,22:11:50,Mostaganem
636018704,2025-09-02,22:11:50,Mostaganem
605076261,2025-09-02,22:11:50,Oran
605086011,2025-09-02,22:11:50,Oran
538011126,2025-09-02,22:11:50,Oran
249096000,2025-09-02,22:11:50,Oran
357321000,2025-09-02,22:11:50,Oran
636024660,2025-09-02,22:11:50,Oran
605000000,2025-09-02,22:11:50,Oran
277549000,2025-09-02,22:11:50,Oran
605086020,2025-09-02,22:11:50,Oran
636014524,2025-09-02,22:11:50,Oran
622177207,2025-09-02,22:11:50,Dumyat (Damietta)
538005208,2025-09-02,22:11:50,Dumyat (Damietta)
671346000,2025-09-02,22:11:50,Dumyat (Damietta)
622177202,2025-09-02,22:11:50,Dumyat (Damietta)
622177208,2025-09-02,22:11:50,Dumyat (Damietta)
620050000,2025-09-02,22:11:50,Dumyat (Damietta)
622177205,2025-09-02,22:11:50,Dumyat (Damietta)
622177219,2025-09-02,22:11:50,Dumyat (Damietta)
636015939,2025-09-02,22:11:50,Dumyat (Damietta)
636021598,2025-09-02,22:11:50,Dumyat (Damietta)
622112844,2025-09-02,22:11:50,El Iskandariya (Alexandria)
636020467,2025-09-02,22:11:50,El Iskandariya (Alexandria)
370998000,2025-09-02,22:11:50,El Iskandariya (Alexandria)
622112887,2025-09-02,22:11:50,El Iskandariya (Alexandria)
219027463,2025-09-02,22:11:50,El Iskandariya (Alexandria)
677064000,2025-09-02,22:11:50,El Iskandariya (Alexandria)
352524000,2025-09-02,22:11:50,El Iskandariya (Alexandria)
622112849,2025-09-02,22:11:50,El Iskandariya (Alexandria)
622112832,2025-09-02,22:11:50,El Iskandariya (Alexandria)
622000000,2025-09-02,22:11:50,El Iskandariya (Alexandria)
622110690,2025-09-02,22:11:50,Sokhna Port
477007300,2025-09-02,22:11:50,Sokhna Port
563071300,2025-09-02,22:11:50,Sokhna Port
477067400,2025-09-02,22:11:50,Sokhna Port
249807000,2025-09-02,22:11:50,Sokhna Port
419001615,2025-09-02,22:11:50,Sokhna Port
622112884,2025-09-02,22:11:50,El Dekheila
622112202,2025-09-02,22:11:50,El Dekheila
622112837,2025-09-02,22:11:50,El Dekheila
636016478,2025-09-02,22:11:50,El Dekheila
622112891,2025-09-02,22:11:50,El Dekheila
352003781,2025-09-02,22:11:50,El Dekheila
622122280,2025-09-02,22:11:50,El Dekheila
622112833,2025-09-02,22:11:50,El Dekheila
518999343,2025-09-02,22:11:50,El Dekheila
622122279,2025-09-02,22:11:50,El Dekheila
209289000,2025-09-02,22:11:50,Port Said
622123235,2025-09-02,22:11:50,Port Said
622110353,2025-09-02,22:11:50,Port Said
240057900,2025-09-02,22:11:50,Port Said
240651100,2025-09-02,22:11:50,Port Said
622107228,2025-09-02,22:11:50,Port Said
622108775,2025-09-02,22:11:50,Port Said
622107054,2025-09-02,22:11:50,Port Said
622097325,2025-09-02,22:11:50,Port Said
622110357,2025-09-02,22:11:50,Port Said
304366000,2025-09-02,22:11:50,Bizerte
232050688,2025-09-02,22:11:50,Bizerte
314776000,2025-09-02,22:11:50,Bizerte
352005566,2025-09-02,22:11:50,Bizerte
672585000,2025-09-02,22:11:50,Bizerte
6725030,2025-09-02,22:11:50,Bizerte
667001656,2025-09-02,22:11:50,Sfax
373550000,2025-09-02,22:11:50,Sfax
636020435,2025-09-02,22:11:50,Sfax
630001001,2025-09-02,22:11:50,Sfax
538007387,2025-09-02,22:11:50,Sfax
245926000,2025-09-02,22:11:50,Sousse
671517100,2025-09-02,22:11:50,Sousse
